time,open,high,low,close,VWAP,Volume,Plot,Plot,Plot,Plot,RSI,Plot,Plot,Plot,Plot,ADX,ATR
2024-05-13T09:45:00+05:30,21856.8,21897.7,21855.45,21860.35,21930.952938010974,13423510,70,60,40,30,28.10862199267855,60,28.10862199267855,70,28.10862199267855,25.263181349864727,48.380232933284745
2024-05-13T10:00:00+05:30,21861.55,21886.6,21828.4,21886.1,21918.43436867521,15541775,70,60,40,30,32.93479961239986,60,32.93479961239986,70,30,27.278424054202567,49.08164486662134
2024-05-13T10:15:00+05:30,21885.2,21889.75,21845,21873.8,21912.796471847694,10337412,70,60,40,30,31.835415205124065,60,31.835415205124065,70,30,29.04243008475355,48.77224166186267
2024-05-13T10:30:00+05:30,21874,21876.1,21824.85,21832.85,21906.688529091516,8823570,70,60,40,30,28.432556360197225,60,28.432556360197225,70,28.432556360197225,30.897108960363255,48.94922440030105
2024-05-13T10:45:00+05:30,21832.75,21879.6,21821.05,21873.25,21902.572211667237,9091411,70,60,40,30,35.73125417770741,60,35.73125417770741,70,30,32.660013832182884,49.634994085993775
2024-05-13T11:00:00+05:30,21873.55,21921.55,21861.2,21911.1,21902.17937222479,9995062,70,60,40,30,41.727290970331204,60,40,70,30,32.84268728867187,50.40035165127983
2024-05-13T11:15:00+05:30,21911.05,21949.4,21910.7,21936.15,21904.27871829861,8879477,70,60,40,30,45.360557463276315,60,40,70,30,32.1859414010528,49.564612247617035
2024-05-13T11:30:00+05:30,21936.9,21989.75,21932.95,21962.75,21908.134155033145,9083910,70,60,40,30,48.99707525225817,60,40,70,30,30.53591553109652,50.08142565850148
2024-05-13T11:45:00+05:30,21962.7,21977.95,21947.2,21971.6,21910.7826091518,6551787,70,60,40,30,50.18499192841571,60,40,70,30,29.003748651851396,48.700609540037085
2024-05-13T12:00:00+05:30,21971.15,21990.55,21969.1,21985.4,21914.037124763567,6837448,70,60,40,30,52.06002611310566,60,40,70,30,27.262273275076364,46.75413743003448
2024-05-13T12:15:00+05:30,21986.85,22024.3,21967,22023.6,21917.933586726638,6668750,70,60,40,30,56.89651635933663,60,40,70,30,25.77352277166745,47.507413327889104
2024-05-13T12:30:00+05:30,22023.1,22041,22017.25,22022.45,21922.483650165155,6781534,70,60,40,30,56.7110269170348,60,40,70,30,24.747048422330725,45.81045523303988
2024-05-13T12:45:00+05:30,22022.55,22024.25,21989.5,22019.7,21925.25891494083,5247585,70,60,40,30,56.238866457911314,60,40,70,30,23.101604964040206,45.02042271639418
2024-05-13T13:00:00+05:30,22019.15,22034.9,22010.95,22029.2,21928.255505369052,5192066,70,60,40,30,57.553602399488085,60,40,70,30,21.81737649149067,43.51539252236608
2024-05-13T13:15:00+05:30,22029.1,22038.05,21966.1,21973.6,21930.93026213613,7498753,70,60,40,30,48.390439473623395,60,40,70,30,20.914337138259082,45.5464359136257
2024-05-13T13:30:00+05:30,21973.65,21979.2,21934,21978.45,21932.15524594158,6962899,70,60,40,30,49.15095369349316,60,40,70,30,20.691355561763473,45.521690491223914
2024-05-13T13:45:00+05:30,21977.75,22104.1,21967.6,22102,21938.80855226036,10464358,70,60,40,30,63.78948663402351,63.78948663402351,40,70,30,20.336050481076164,52.02014117042221
2024-05-13T14:00:00+05:30,22102.6,22111.65,22078.5,22103.05,21944.829841603754,7788199,70,60,40,30,63.88464300859059,63.88464300859059,40,70,30,20.115586438095427,50.67227394396358
2024-05-13T14:15:00+05:30,22103.4,22123.45,22080.05,22100.1,21951.30974941154,8886579,70,60,40,30,63.38070436028519,63.38070436028519,40,70,30,20.086388238825165,50.152825805109146
2024-05-13T14:30:00+05:30,22099.75,22127.15,22099.5,22121.45,21958.860845420106,10302749,70,60,40,30,65.50169843596373,65.50169843596373,40,70,30,20.116213640022302,48.545481104744304
2024-05-13T14:45:00+05:30,22120.55,22130.7,22106.6,22119.75,21967.675965410654,13090957,70,60,40,30,65.17798099572084,65.17798099572084,40,70,30,20.201565147063423,46.79937531154844
2024-05-13T15:00:00+05:30,22120,22129.75,22070.55,22098.45,21978.213085215262,20648836,70,60,40,30,61.10330040626565,61.10330040626565,40,70,30,19.414788160621203,47.685134217866455
2024-05-13T15:15:00+05:30,22098.7,22131.65,22092.15,22119.4,21987.306962100007,18495668,70,60,40,30,63.519029124186424,63.519029124186424,40,70,30,18.72079925153151,47.10048177373314
2024-05-14T09:15:00+05:30,22132.1,22182.7,22095.15,22129.9,22135.916666666668,25346910,70,60,40,30,64.70226730348764,64.70226730348764,40,70,30,18.98142277197301,49.989733075609294
2024-05-14T09:30:00+05:30,22130.05,22150.5,22102.15,22143.7,22134.570619580645,13903337,70,60,40,30,66.25156165931985,66.25156165931985,40,70,30,19.223430326668687,49.87260928449424
2024-05-14T09:45:00+05:30,22143.5,22167.55,22116.4,22141.6,22136.157985193724,10945947,70,60,40,30,65.77841538194997,65.77841538194997,40,70,30,19.73399038111149,49.96385147845878
2024-05-14T10:00:00+05:30,22142.45,22143.35,22081.25,22099.1,22131.961115586997,8755491,70,60,40,30,56.918897205090815,60,40,70,30,19.281116210810463,50.830719229997335
2024-05-14T10:15:00+05:30,22099.2,22139.95,22098.8,22137.2,22131.293211991146,6588094,70,60,40,30,61.87618142770993,61.87618142770993,40,70,30,18.86059019553094,50.13923928499763
2024-05-14T10:30:00+05:30,22137.1,22155.35,22124.1,22155.25,22132.582087929375,6857708,70,60,40,30,63.99022681697144,63.99022681697144,40,70,30,18.776890219159966,48.790007907497795
2024-05-14T10:45:00+05:30,22155.75,22157.25,22128.75,22143.5,22133.41873285049,6213726,70,60,40,30,61.59573212450875,61.59573212450875,40,70,30,18.737655813133316,47.3407216283908
2024-05-14T11:00:00+05:30,22143.8,22180.65,22140.7,22178.9,22135.863875823557,6223366,70,60,40,30,65.75355345720934,65.75355345720934,40,70,30,19.167829822194623,46.812812940648655
2024-05-14T11:15:00+05:30,22179.05,22189.8,22159.25,22162.4,22138.31186041686,6455214,70,60,40,30,62.364420626920605,62.364420626920605,40,70,30,19.74218616136196,45.651183444887984
2024-05-14T11:30:00+05:30,22161.7,22183.65,22155.75,22176.75,22140.221974092892,5478627,70,60,40,30,64.09760750818766,64.09760750818766,40,70,30,20.15531023822518,44.38324177025323
2024-05-14T11:45:00+05:30,22177.3,22189.65,22172.2,22180.95,22142.210265046426,4968712,70,60,40,30,64.61128863363044,64.61128863363044,40,70,30,20.6657505891606,42.45943878666377
2024-05-14T12:00:00+05:30,22181.9,22202.15,22179.05,22185.3,22144.2714554191,4705807,70,60,40,30,65.1671719046947,65.1671719046947,40,70,30,21.403387658721527,41.076621730473654
2024-05-14T12:15:00+05:30,22185.65,22186.25,22167,22185.05,22145.866189119355,5056973,70,60,40,30,65.10387810763117,65.10387810763117,40,70,30,21.61983296786939,39.517577321154114
2024-05-14T12:30:00+05:30,22184.9,22200.6,22183.2,22194.65,22148.122001977707,5627583,70,60,40,30,66.45136049358497,66.45136049358497,40,70,30,22.146515159937668,37.937750369642956
2024-05-14T12:45:00+05:30,22194.45,22231.8,22192.15,22223.75,22152.490400217408,8069118,70,60,40,30,70.20686721185454,70.20686721185454,40,70.20686721185454,30,23.263457680151344,38.0600539146683
2024-05-14T13:00:00+05:30,22223.5,22236.85,22214.95,22220.45,22156.908976391067,8235148,70,60,40,30,69.26001575759044,69.26001575759044,40,70,30,24.39448968201281,36.905764349334696
2024-05-14T13:15:00+05:30,22220.35,22233,22202.2,22230.8,22159.678748382485,5930169,70,60,40,30,70.5992948711782,70.5992948711782,40,70.5992948711782,30,24.905099942058186,36.46963832438217
2024-05-14T13:30:00+05:30,22230.75,22241.45,22222.8,22241.25,22164.241700595303,8965839,70,60,40,30,71.92908951313036,71.92908951313036,40,71.92908951313036,30,25.56171588127706,35.19680701549783
2024-05-14T13:45:00+05:30,22241.5,22260.85,22233.85,22258.5,22168.492759779037,7636191,70,60,40,30,74.01816505341924,74.01816505341924,40,74.01816505341924,30,26.569073799227326,34.61132080010513
2024-05-14T14:00:00+05:30,22258.65,22270.05,22246,22250.85,22172.991030982885,8489214,70,60,40,30,71.47763216608358,71.47763216608358,40,71.47763216608358,30,27.68271218637838,33.85694074295471
2024-05-14T14:15:00+05:30,22250.7,22266.4,22217.7,22256.6,22177.07484482228,9618255,70,60,40,30,72.24864532041242,72.24864532041242,40,72.24864532041242,30,27.493260848819002,34.91715926131514
2024-05-14T14:30:00+05:30,22256.3,22259.75,22226.15,22236.9,22179.578922065793,7104433,70,60,40,30,65.69625322426144,65.69625322426144,40,70,30,27.31734174965672,34.82307645693539
2024-05-14T14:45:00+05:30,22236.25,22248.55,22228.2,22236.75,22182.80966421134,10637831,70,60,40,30,65.64743323991,65.64743323991,40,70,30,27.1539883004346,33.7892852814399
2024-05-14T15:00:00+05:30,22235.8,22238.1,22195.4,22222.05,22185.85238644479,17867707,70,60,40,30,60.87329894256505,60.87329894256505,40,70,30,25.675905994829023,34.42576490419399
2024-05-14T15:15:00+05:30,22221.1,22226.95,22214.3,22223.8,22188.896999117514,19471486,70,60,40,30,61.23472968961444,61.23472968961444,40,70,30,24.303400996766708,32.87035312532309
2024-05-15T09:15:00+05:30,22265,22278.55,22241.6,22275.9,22265.349999999995,23371219,70,60,40,30,70.09237282934657,70.09237282934657,40,70.09237282934657,30,24.453421410117688,34.433185044942874
2024-05-15T09:30:00+05:30,22276.45,22286.05,22248.45,22283.55,22267.951633491506,12850212,70,60,40,30,71.13529263897021,71.13529263897021,40,71.13529263897021,30,24.76249613224682,34.65938611316114
2024-05-15T09:45:00+05:30,22283.95,22297.55,22244.25,22249.4,22266.897497045207,12067116,70,60,40,30,60.92217539598175,60.92217539598175,40,70,30,25.307044248138403,35.99085853364958
